,Date,High,Low,Close,Volume,VolumeT,Gaus
287,2016-04-04,19.5,19.5,19.5,3,4000,19.543733628683295
288,2016-04-05,19.5,19.5,19.5,1,1000,19.632064198720695
289,2016-04-06,20.9,20.0,20.0,6,2426,19.717945134211462
290,2016-04-07,20.0,20.0,20.0,1,4785,19.80242933530262
291,2016-04-08,19.9,19.9,19.9,3,500,19.88647810639742
292,2016-04-11,20.9,20.0,19.9,4,73,19.970939226276396
293,2016-04-12,20.1,20.1,19.9,1,87,20.056217714994116
294,2016-04-15,21.0,21.0,19.9,1,1,20.142015954789276
295,2016-04-18,20.3,20.0,20.1,6,6163,20.227198577942893
296,2016-04-19,20.1,20.0,20.0,19,58675,20.309671781063397
297,2016-04-20,22.6,20.1,20.4,13,6581,20.386647400505762
298,2016-04-22,21.4,20.3,20.9,14,9353,20.454965312420036
299,2016-04-25,21.5,20.9,21.0,4,250,20.511697061623302
300,2016-04-26,21.5,20.8,20.8,2,992,20.55470080648724
301,2016-04-27,21.4,21.0,21.0,4,1375,20.58318839733156
302,2016-04-29,21.4,20.9,21.1,10,1275,20.598003182774278
303,2016-05-03,21.4,20.9,20.9,3,1010,20.60159006390406
304,2016-05-04,21.4,21.4,20.9,1,23,20.597633109766978
305,2016-05-05,20.8,20.0,20.3,27,21770,20.590545246493797
306,2016-05-06,20.5,20.0,20.0,24,29426,20.584708725239793
307,2016-05-09,21.0,20.0,20.0,20,16775,20.583819916034788
308,2016-05-10,20.5,20.5,20.0,1,1,20.590303067229005
309,2016-05-11,21.3,21.0,21.0,8,13515,20.605122394455766
310,2016-05-12,20.2,20.2,20.2,2,200,20.627872666162975
311,2016-05-13,21.0,21.0,21.0,6,14646,20.65700527837575
312,2016-05-16,21.0,21.0,21.0,7,1552,20.69030608275045
313,2016-05-17,21.0,20.5,20.5,8,4224,20.72534216729268
314,2016-05-18,21.2,21.0,21.0,14,7317,20.759777596842437
315,2016-05-19,21.3,20.7,20.7,13,6400,20.79168469944247
316,2016-05-20,21.0,20.7,20.8,7,1756,20.819605272388603
317,2016-05-24,21.2,20.8,21.0,12,13200,20.842540791745996
318,2016-05-25,21.4,21.0,21.0,37,26811,20.859904400873354
319,2016-05-26,21.2,20.8,20.8,10,3681,20.87142929228733
320,2016-05-27,21.0,21.0,21.0,6,403,20.877107591456376
321,2016-05-30,21.2,21.2,21.2,1,100,20.877087077955306
322,2016-05-31,21.1,20.7,20.9,7,1505,20.871626712887952
323,2016-06-01,20.8,20.7,20.8,3,1250,20.86108206721566
324,2016-06-02,21.0,20.8,20.8,3,1738,20.84577857323752
